"SRR062670"	"SRR062671"	"SRR062672"	"SRR062673"	"SRR062674"	"SRR062675"	"SRR062676"	"SRR062677"	"SRR062678"	"SRR062679"	"SRR062680"	"SRR062681"	"SRR062682"	"SRR062683"	"SRR062684"	"SRR062685"	"SRR062686"	"SRR062687"	"SRR062688"	"SRR062689"	"SRR062690"	"SRR062691"	"SRR062692"	"SRR062693"	"SRR062694"	"SRR062695"	"SRR062696"	"SRR062697"	"SRR062698"	"SRR062699"	"SRR062700"	"SRR062701"	"SRR062702"	"SRR062703"	"SRR062704"	"SRR062705"	"SRR062706"	"SRR062707"	"SRR062708"	"SRR062709"	"SRR062710"	"SRR062711"	"SRR062712"	"SRR062713"	"SRR062714"	"SRR062715"	"SRR062716"	"SRR062717"	"SRR062718"	"SRR062719"	"SRR062720"	"SRR062721"	"SRR062722"	"SRR062723"	"SRR062724"	"SRR062725"	"SRR062726"	"SRR062727"	"SRR062728"	"SRR062729"	"SRR062730"	"SRR062731"	"SRR062732"	"SRR062733"	"SRR062734"	"SRR062735"	"SRR062736"	"SRR062737"	"SRR062738"	"SRR062739"	"SRR062740"	"SRR062741"	"SRR062742"	"SRR062743"	"SRR062744"	"SRR062745"	"SRR062746"	"SRR062747"	"SRR062748"	"SRR062749"	"SRR062750"	"SRR062751"	"SRR062752"	"SRR062753"	"SRR062755"	"SRR062756"	"SRR062757"	"SRR062758"	"SRR062759"	"SRR062760"	"SRR062761"	"SRR062762"	"SRR062763"	"SRR062764"	"SRR062765"	"SRR062766"	"SRR062767"	"SRR062768"	"SRR062769"	"SRR062770"	"SRR062771"	"SRR062772"	"SRR062773"	"SRR062774"	"SRR062775"	"SRR062776"	"SRR062777"	"SRR062778"	"SRR062779"	"SRR062780"	"SRR062781"	"SRR062782"	"SRR062783"	"SRR062784"	"SRR062785"	"SRR062786"	"SRR062787"	"SRR062788"	"SRR062789"	"SRR062790"	"SRR062791"	"SRR062792"	"SRR062793"	"SRR062794"	"SRR062795"	"SRR062796"	"SRR062797"	"SRR062798"	"SRR062799"	"SRR062800"	"SRR062801"	"SRR062802"	"SRR062803"	"SRR062804"	"SRR062805"	"SRR062806"	"SRR062807"	"SRR062808"	"SRR062809"	"SRR062810"	"SRR062811"	"SRR062812"	"SRR062813"	"SRR062814"	"SRR062815"	"SRR062816"	"SRR062817"	"SRR062818"	"SRR062819"	"SRR062820"	"SRR062821"	"SRR062822"	"SRR062823"	"SRR062824"	"SRR062825"	"SRR062826"	"SRR062827"	"SRR062828"	"SRR062829"	"SRR062830"	"SRR062831"	"SRR062832"	"SRR062833"	"SRR062834"	"SRR062835"	"SRR062836"	"SRR062837"	"SRR062838"	"SRR062839"	"SRR062840"	"SRR062842"	"SRR062843"	"SRR062844"	"SRR062845"	"SRR062846"	"SRR062847"	"SRR062848"	"SRR062849"	"SRR062850"	"SRR062851"	"SRR062852"	"SRR062853"	"SRR062854"	"SRR062855"	"SRR062856"	"SRR062857"	"SRR062858"	"SRR062859"	"SRR062860"	"SRR062861"	"SRR062862"	"SRR062863"	"SRR062864"	"SRR062865"	"SRR062866"	"SRR062867"	"SRR062868"	"SRR062869"	"SRR062870"	"SRR062871"	"SRR062872"	"SRR062873"	"SRR062874"	"SRR062875"	"SRR062876"	"SRR062877"	"SRR062878"	"SRR062879"	"SRR062880"	"SRR062881"	"SRR062882"	"SRR062883"	"SRR062884"	"SRR062885"	"SRR062886"	"SRR062887"	"SRR062888"	"SRR062889"	"SRR062890"	"SRR062891"	"SRR062892"	"SRR062893"	"SRR062894"	"SRR062895"	"SRR062896"	"SRR062897"	"SRR062898"	"SRR062899"	"SRR062900"	"SRR062901"	"SRR062902"	"SRR062903"	"SRR062904"	"SRR062905"	"SRR062906"	"SRR062907"	"SRR062908"	"SRR062909"	"SRR062910"	"SRR062911"	"SRR062912"	"SRR062913"	"SRR062914"	"SRR062915"	"SRR062916"	"SRR062917"	"SRR062918"	"SRR062919"	"SRR062920"	"SRR062921"	"SRR062922"	"SRR062923"	"SRR062924"	"SRR062925"	"SRR062926"	"SRR062927"	"SRR062928"	"SRR062929"	"SRR062930"	"SRR062931"	"SRR062932"	"SRR062934"	"SRR062935"	"SRR062936"	"SRR062937"	"SRR062938"	"SRR062939"	"SRR062940"	"SRR062941"	"SRR062942"	"SRR062943"	"SRR062944"	"SRR062945"	"SRR062946"	"SRR062947"	"SRR062948"	"SRR062949"	"SRR062950"	"SRR062951"	"SRR062952"	"SRR062953"	"SRR062954"	"SRR062955"	"SRR062956"	"SRR062957"	"SRR062958"	"SRR062959"	"SRR062960"	"SRR062961"	"SRR062962"	"SRR062963"	"SRR062964"	"SRR062965"	"SRR062966"	"SRR062967"	"SRR062968"	"SRR062969"	"SRR062970"	"SRR062971"	"SRR062972"	"SRR062973"	"SRR062974"	"SRR062975"	"SRR062976"	"SRR062977"	"SRR062978"	"SRR062979"	"SRR062980"	"SRR062981"	"SRR062982"	"SRR062983"	"SRR062984"	"SRR062985"	"SRR062986"	"SRR062987"	"SRR062988"	"SRR062989"	"SRR062990"	"SRR062992"	"SRR062993"	"SRR062994"	"SRR062995"	"SRR062996"	"SRR062997"	"SRR062998"	"SRR062999"	"SRR063000"	"SRR063001"	"SRR063002"	"SRR063003"	"SRR063004"	"SRR063005"	"SRR063006"	"SRR063007"	"SRR063008"	"SRR063009"	"SRR063010"	"SRR063011"	"SRR063012"	"SRR063013"	"SRR063014"	"SRR063015"	"SRR063016"	"SRR063017"	"SRR063018"	"SRR063019"	"SRR063020"	"SRR063021"	"SRR063022"	"SRR063023"	"SRR063024"	"SRR063025"	"SRR063026"	"SRR063027"	"SRR063028"	"SRR063029"	"SRR063030"	"SRR063031"	"SRR063032"	"SRR063033"	"SRR063034"	"SRR063035"	"SRR063036"	"SRR063037"	"SRR063038"	"SRR063039"	"SRR063040"	"SRR063041"	"SRR063042"	"SRR063043"	"SRR063044"	"SRR063045"	"SRR063046"	"SRR063047"	"SRR063048"	"SRR063049"	"SRR063050"	"SRR063051"	"SRR063052"	"SRR063053"	"SRR063054"	"SRR063055"	"SRR063056"	"SRR063057"	"SRR063058"	"SRR063059"	"SRR063060"	"SRR063061"	"SRR063062"	"SRR063063"	"SRR063064"	"SRR063065"	"SRR063066"	"SRR063067"
"Lachnospiraceae_8"	0	0	0	1	0	0	0	0	0	0	0	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	597	0	8	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	210	0	0	0	0	0	4	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	933	0	0	1	1	0	0	0	86	0	271	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1020	0	0	1	0	0	0	0	0	0	0	931	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	6	7	0	2	254	0	0	1	0	0	0	0	0	1	270	1	0	0	0	795	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	147	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	654	0	1011	0	5	0	197	0	0	0	0	0	0	0	0	0	0	0	0	704	4	0	422	179	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Anaerococcus"	0	2	2	3	0	9	12	13	0	0	1	1	0	77	1	14	37	0	0	0	6	8	13	0	2	0	0	4	0	0	0	0	2	0	0	0	1	0	4	0	0	472	0	5	0	0	1	5	0	0	18	14	42	0	1	8	1	1	1	0	1	0	6	1	0	0	0	8	5	4	0	0	0	0	0	184	0	0	0	1	0	0	0	2	33	32	1	12	5	9	0	0	7	0	0	1	0	0	36	0	7	1	0	0	0	0	0	0	64	12	0	5	0	15	0	13	0	4	1	2	0	0	0	1	0	2	6	1	0	7	0	0	1	314	74	0	0	5	1	14	4	35	145	10	335	5	23	0	30	50	7	9	3	0	4	0	0	20	481	180	59	1	0	0	1	0	0	0	1	0	0	14	0	43	78	509	22	92	195	0	0	0	20	0	1	196	9	30	1	0	0	12	1	2	4	0	1	1	0	0	1	0	0	0	1	210	1	6	2	2	0	1	0	0	0	4	1	0	1	18	0	0	0	2	1	0	0	0	1	26	1	0	0	0	0	0	0	0	0	0	0	4	49	1	0	13	9	0	2	2	3	5	1	17	33	0	0	10	35	0	5	0	231	0	0	0	0	0	2	1	10	0	694	0	0	0	0	2	0	244	0	0	0	0	0	16	1	0	0	4	0	3	0	0	0	0	1	0	13	0	14	2	0	0	1	0	70	5	32	1	0	2	0	1	0	1	0	0	0	0	1	273	0	0	61	14	3	5	95	1	1	9	0	0	1	1	446	0	7	0	1	0	3	26	7	0	3	0	0	74	0	81	0	0	0	0	1	0	0	6	0	0	0	14	0	2	0	439	43	17	2	0	2	0	11	0	10	1	1	189	411	41	1	53	0	0	27	173	3	6	1	2	0	0
"Peptoniphilus"	0	1	0	0	6	2	5	51	0	0	1	27	0	28	0	14	18	0	0	0	3	2	46	0	1	2	0	5	0	22	9	0	0	0	0	1	0	0	11	0	0	100	0	1	2	2	0	18	0	0	18	4	86	0	0	3	3	2	0	0	0	10	4	0	0	0	0	2	6	59	0	0	14	0	0	34	0	0	0	0	0	0	1	1	128	8	1	6	8	24	0	0	2	0	0	1	0	0	33	0	5	13	3	0	0	0	0	0	90	19	0	3	0	54	0	9	0	1	0	1	0	0	2	1	0	0	9	2	1	29	0	0	6	113	29	0	10	15	0	46	17	45	142	9	222	2	22	0	95	16	1	5	0	0	0	0	0	15	60	317	66	1	0	3	0	0	1	0	0	0	1	72	0	12	104	33	44	37	297	0	0	0	23	0	9	20	0	87	0	0	0	78	0	0	2	0	0	0	1	1	0	3	0	1	0	186	3	10	8	1	0	0	0	1	1	0	7	2	0	13	1	0	0	2	0	0	0	0	23	32	0	0	0	0	0	3	0	0	0	0	0	6	41	24	0	29	11	2	0	0	2	2	13	5	34	0	0	6	11	0	37	0	0	0	2	0	0	0	42	37	60	0	96	0	0	0	1	0	36	5	0	0	0	0	0	71	1	0	0	3	0	23	0	2	0	0	2	0	6	0	22	2	0	0	0	0	7	10	4	88	2	4	10	4	0	24	3	0	1	0	3	73	0	0	44	1	41	3	138	100	14	2	0	0	0	0	246	0	0	0	0	0	6	4	1	0	41	1	0	9	0	74	0	0	1	5	0	0	0	2	0	0	0	12	0	0	0	84	27	17	0	0	1	0	13	0	1	0	1	127	247	63	47	83	0	0	76	104	1	1	0	1	0	0
"Eggerthella"	0	0	0	0	2	0	0	7	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	162	17	0	0	0	0	0	0	95	138	0	0	0	0	81	44	0	0	125	56	0	61	0	61	0	0	0	0	0	0	0	0	77	0	206	0	0	0	0	0	78	0	58	53	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	37	0	1	89	0	0	0	49	0	0	0	0	154	0	0	0	0	0	0	0	0	41	0	1	0	0	0	0	141	0	0	0	0	0	0	39	125	0	81	143	0	151	50	0	0	0	1	0	1	40	92	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	57	412	0	76	73	0	0	0	0	0	1	87	56	1	115	0	0	0	36	0	0	0	0	0	0	30	0	0	38	0	0	0	0	0	0	10	0	0	0	0	0	18	0	24	0	3	0	0	0	0	7	3	2	0	25	33	0	0	1	1	0	0	0	0	5	122	2	0	0	61	59	0	0	0	29	0	24	0	0	93	0	9	0	0	0	22	0	43	0	57	0	0	0	0	0	88	80	72	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	21	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	124	0	53	0	0	29	404	14	46	0	0	0	0	46	0	0	0	0	11	68	38	29	25	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Finegoldia"	0	0	0	1	0	1	17	2	0	0	3	2	0	20	0	32	116	0	0	0	4	8	6	0	0	1	0	6	0	0	0	0	0	0	1	1	6	2	0	0	0	10	0	4	7	0	2	20	0	0	0	1	41	0	0	10	1	1	6	0	0	9	6	0	0	0	0	35	6	0	0	0	1	0	0	17	0	0	0	0	2	0	0	2	37	10	0	29	2	0	0	2	2	0	0	0	0	4	41	0	3	2	3	0	3	0	2	0	35	12	0	10	0	9	0	4	0	0	0	3	0	1	0	0	0	0	12	1	0	1	0	0	8	44	88	0	0	2	0	2	0	26	12	5	151	6	3	0	301	0	0	0	4	0	4	0	0	7	29	392	82	0	0	12	0	0	0	0	0	0	4	39	4	2	20	64	34	8	69	0	1	1	2	0	1	24	3	22	0	0	0	6	0	0	7	0	0	0	0	0	4	0	0	2	0	49	0	0	2	0	0	2	1	1	1	14	1	2	1	8	3	0	0	3	0	0	0	0	0	62	1	0	0	0	0	0	0	0	0	0	0	1	25	2	0	12	20	1	0	0	1	3	2	10	0	1	0	14	0	0	1	0	0	2	0	1	0	0	1	0	2	1	51	3	0	0	1	0	0	84	1	0	0	1	0	66	4	1	0	0	0	1	0	1	2	0	2	1	3	0	53	0	1	0	0	0	12	10	8	0	18	13	2	1	0	0	7	0	0	0	0	40	0	0	97	3	0	3	105	4	0	11	0	1	0	0	269	0	4	0	2	0	17	5	2	0	1	0	2	17	0	25	0	5	0	0	1	0	0	11	0	0	3	13	0	0	0	7	377	59	0	0	10	0	35	0	10	0	0	82	311	111	0	99	0	1	48	100	7	1	0	2	0	1
"Proteobacteria_12"	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	257	179	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	41	0	53	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	1	1	0	0	0	0	1	0	152	0	11	102	0	0	1	0	0	0	0	0	0	2718	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	468	0	16	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	121	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	106	45	0	0	0	0	0	0	275	0	0	0	0	0	10	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ruminococcaceae_3"	0	0	0	0	0	0	0	2	0	0	0	23	0	0	0	0	0	0	0	0	0	0	3	0	27	0	0	0	0	0	48	0	0	0	0	1	0	23	212	0	0	0	0	173	103	0	0	100	59	0	110	0	12	0	0	0	0	0	0	0	0	115	0	119	0	0	0	0	0	18	0	1	22	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	2	0	0	51	0	0	0	2	0	0	0	0	165	0	0	0	0	0	0	0	0	7	0	1	0	1	0	0	9	0	0	0	5	0	0	11	56	0	179	51	0	179	58	9	0	106	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	193	0	15	143	0	105	12	2	0	1	0	0	0	70	0	0	277	0	0	0	88	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	2	0	0	0	0	0	0	33	1	0	0	0	9	0	0	0	19	0	1	0	0	57	1	6	0	1	1	15	0	43	0	0	0	0	0	0	0	97	140	56	0	0	0	0	0	0	0	67	0	0	0	0	7	0	0	0	0	0	7	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	32	0	0	65	145	27	157	0	0	0	0	82	0	0	0	0	2	8	1	11	25	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0
"Ureaplasma"	0	0	0	1	0	6	8	4	0	5	0	0	3	0	9	0	0	0	0	0	0	100	9	0	6	0	0	0	12	0	3	0	0	0	0	1	0	7	0	5	5	128	0	7	1	6	2	3	4	4	0	0	0	10	0	0	0	2	1	0	0	0	0	6	0	1	0	0	0	0	0	5	3	16	10	0	7	2	0	0	0	0	0	3	4	0	0	33	0	0	7	0	67	2	0	35	4	0	36	7	0	0	0	31	0	2	0	0	9	0	0	0	0	14	6	0	0	0	0	1	17	0	0	4	0	0	5	24	81	0	5	0	0	0	0	15	0	1	12	0	14	3	3	0	0	116	70	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	3	2	1	0	1	0	0	0	0	0	4	0	0	2	0	44	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	10	0	0	4	15	0	13	241	0	27	0	0	1	2	0	2	0	100	0	0	1	1	0	6	2	0	0	0	0	0	3	0	26	6	5	1	0	0	13	2	2	1	0	10	6	0	0	0	5	0	0	0	0	1	0	1	0	0	0	10	0	0	9	17	6	10	4	7	0	0	0	2	0	0	15	0	0	0	1	5	0	12	0	5	0	6	0	0	0	2	0	0	0	4	1	0	0	541	0	8	0	0	7	10	3	0	0	1176	0	0	14	1	0	7	5	2	2	4	0	12	2	0	0	0	0	17	0	0	109	0	13	0	0	0	1	30	0	0	0	11	0	0	0	12	6	18	0	0	0	1	7	1	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	4	0	51	5	0	0	0	0	0	8	2	1	0	0	0	0	0	0	0	0	0	26
"Mycoplasmataceae_1"	0	0	0	0	3	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	974	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1573	1	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	50	0	0	0	0	2	0	0	69	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	10	0	0	0	1	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	25	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	478	30	0	0	0	0	0	0	0	0	0	0
"Aerococcus"	0	0	0	0	51	0	0	0	0	0	0	24	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	101	0	0	0	0	0	0	17	1	0	0	0	0	11	6	0	10	4	22	0	1	17	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	26	3	0	0	0	0	0	0	0	0	0	0	0	23	0	0	6	1	1	0	0	0	1	0	0	0	0	4	0	0	31	0	18	14	1	0	0	117	0	0	0	0	27	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1005	14	0	0	0	0	0	0	4	0	1	0	12	0	21	8	0	0	79	0	0	0	256	110	0	0	149	0	2	0	0	35	1	0	0	0	0	0	0	0	0	0	0	10	0	0	128	0	1	1	0	0	0	0	0	0	9	11	6	2	0	0	0	10	0	0	4	0	0	0	43	0	0	19	1	1	0	0	0	0	2	0	0	0	0	0	29	4	92	0	7	2	0	0	1	0	0	0	1	20	0	0	0	1	1	0	0	0	1	0	1	0	0	1	4	33	0	0	0	1	0	0	0	1	9	0	1	0	0	0	23	0	3	0	4	0	0	0	0	0	6	49	33	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	8	5	17	0	0	0	4	129	108	0	2	0	0	8	7	0	0	1	14	14	23	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	3	0	0	0	110	10	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	4	0	0	0	0	0	165	0	0	0	0
"Parvimonas"	0	0	0	0	47	0	4	76	0	0	0	80	0	0	0	0	0	0	0	0	0	0	364	0	10	0	0	0	0	31	17	0	0	0	0	0	0	11	19	0	0	1	0	25	16	0	0	0	2	0	18	0	9	0	0	0	0	0	0	0	1	1	0	19	0	0	0	0	0	42	0	5	20	0	0	1	0	0	0	0	0	0	0	0	29	0	0	0	0	47	0	1	0	0	0	0	0	0	0	0	0	40	0	0	49	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	8	0	0	0	3	0	0	73	0	0	0	0	0	0	50	12	4	33	36	12	39	0	0	0	83	0	0	0	0	94	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	60	154	0	1	35	0	0	0	0	6	0	27	36	0	112	0	0	0	41	0	0	0	0	0	0	12	0	0	37	0	0	0	0	0	0	6	0	0	0	0	2	14	1	0	0	0	2	0	0	0	3	1	2	0	0	10	0	0	0	0	0	0	0	0	0	40	3	0	22	0	31	0	0	0	9	0	29	1	4	16	0	42	0	1	0	25	0	23	0	0	0	0	0	0	0	19	28	99	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	13	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1	73	0	1	16	28	14	102	0	0	0	0	18	79	0	0	0	3	36	4	118	40	13	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	540	2	0	0	14	0	0	3	0	0	0	0
"Staphylococcus"	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	1	1	0	0	1	1	4	0	0	2	0	2	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	42	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	17	2	5	0	2	0	0	0	0	0	2	0	0	0	7	0	0	0	1	5	1	0	1	1	0	0	2	0	0	0	0	3	0	4	0	0	1	1	0	0	0	9	0	0	6	0	0	0	1	0	0	4	0	0	0	0	3	0	0	14	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	3	1	1	1	0	101	0	1	0	71	1324	273	372	13	118	0	0	0	115	17	1	0	2	0	91	0	162	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	27	0	0	0	0	0	0	0	1	0	1	7	0	1	0	0	1	0	0	1	0	5	0	0	0	0	0	1	1	0	0	0	5	0	0	0	11	5	10	0	0	0	0	7	3	2	0	0	0	24	21	0	2	0	0	6	0	0	0	7	0	0	0	0	0	0	0	0	50	7	0	0	3	1	1	0	0	1	1	0	8	1	0	0	0	0	3	0	0	0	9	0	1	24
"Corynebacterium"	0	3	7	3	0	0	0	0	0	0	9	0	0	5	0	0	2	0	8	0	0	1	4	0	0	0	1	29	0	0	0	5	4	0	11	0	0	0	0	3	0	1	0	3	1	2	14	3	0	2	0	1	7	1	0	1	0	17	4	0	0	3	2	0	0	0	0	4	13	0	3	0	0	0	0	0	0	0	0	0	2	0	5	1	2	6	0	3	8	0	0	4	25	1	0	0	0	2	1	1	0	3	9	1	0	0	0	0	1	0	0	0	1	11	0	2	0	1	0	1	0	0	0	0	0	1	2	4	0	0	0	0	1	35	9	0	1	3	1	5	0	2	6	0	27	2	1	0	233	0	1	0	2	0	1	0	0	1	2	0	1	3	0	3	0	0	0	2	5	1	0	10	3	0	9	238	1	2	515	0	0	1	0	0	0	30	0	35	0	0	0	0	0	9	11	0	0	0	0	0	0	0	0	2	0	46	1	0	0	1	0	0	3	0	1	0	0	1	0	4	0	0	0	7	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	6	1	0	0	2	2	0	5	0	0	0	20	0	0	0	0	0	3	0	1	3	0	0	0	8	1	0	0	0	0	0	2	0	2	0	0	0	0	0	34	0	0	0	0	0	6	0	7	1	0	2	0	10	0	154	0	2	0	1	1	8	0	4	0	4	28	0	10	0	0	4	0	1	0	5	55	0	1	47	0	0	2	13	0	0	0	1	0	2	0	8	1	9	0	0	0	68	13	14	0	0	0	1	28	0	3	1	1	0	1	0	0	0	12	0	0	0	0	0	0	0	49	231	44	3	0	0	0	4	0	9	0	0	1	42	3	3	37	0	0	2	180	2	0	3	0	0	0
